file,page_num,line_num,text,lang,lang_score,perplex,categ
CTX199904249,179,21,Kov,N/A,0,0,Non-text
CTX199904249,496,1,497,N/A,0,0,Non-text
CTX199904249,496,6,1998,N/A,0,0,Non-text
CTX199904249,496,7,A,N/A,0,0,Non-text
CTX199904249,496,8,Fl,N/A,0,0,Non-text
CTX199904249,820,1,821,N/A,0,0,Non-text
CTX199904249,820,3,10034/99 |,N/A,0,0,Non-text
CTX199904249,820,9,1 1,N/A,0,0,Non-text
CTX199904249,820,13,|14.11.98.,N/A,0,0,Non-text
CTX199904249,820,15,I 201 1,N/A,0,0,Non-text
CTX199904249,820,19,ŕ 1,N/A,0,0,Non-text
CTX199904249,820,20,TA,N/A,0,0,Non-text
CTX199904249,820,22,TB,N/A,0,0,Non-text
CTX199904249,820,24,TC,N/A,0,0,Non-text
CTX199904249,820,25,1 1,N/A,0,0,Non-text
CTX199904249,820,26,TD,N/A,0,0,Non-text
CTX199904249,820,27,1 1,N/A,0,0,Non-text
CTX199904249,820,28,TE,N/A,0,0,Non-text
CTX199904249,820,29,1 1,N/A,0,0,Non-text
CTX199904249,820,31,1 1,N/A,0,0,Non-text
CTX199904249,820,32,AA,N/A,0,0,Non-text
CTX199904249,820,33,1 1,N/A,0,0,Non-text
CTX199904249,820,34,AB,N/A,0,0,Non-text
CTX199904249,820,35,1 1,N/A,0,0,Non-text
CTX199904249,820,36,AC,N/A,0,0,Non-text
CTX199904249,820,37,1 1,N/A,0,0,Non-text
CTX199904249,820,38,AD,N/A,0,0,Non-text
CTX199904249,820,39,1 1,N/A,0,0,Non-text
CTX199904249,820,40,AE,N/A,0,0,Non-text
CTX199904249,820,41,1 1,N/A,0,0,Non-text
CTX199904249,820,42,KOV,N/A,0,0,Non-text
CTX199904249,820,43,1 1,N/A,0,0,Non-text
CTX199904249,820,45,1 1,N/A,0,0,Non-text
CTX199904249,820,47,1 1,N/A,0,0,Non-text
CTX199904249,820,49,1 1,N/A,0,0,Non-text
CTX199904249,190,1,190,N/A,0,0,Non-text
CTX199904249,794,60,25. července 2010,ces_Latn,0.9994,1485.68,Trash
CTX199904249,794,61,Stránka 8 z 93,ces_Latn,0.9421,23223.31,Trash
CTX199904249,274,2,Výzkum,ces_Latn,1.0000,468.16,Noisy
CTX199904249,274,3,Datum,deu_Latn,0.9669,536029.31,Trash
CTX199904249,274,4,Objekt,deu_Latn,0.9982,716.65,Trash
CTX199904249,274,5,Sektor,deu_Latn,0.9806,2809.39,Trash
CTX199904249,274,6,Turnov,vie_Latn,0.6003,40785.12,Trash
CTX199904249,274,7,Maškovy zahrady,ces_Latn,0.9849,865.11,Trash
CTX199904249,274,11,Poěitaéavý soubor,ces_Latn,0.9998,2184.04,Trash
CTX199904249,274,12,C2obj07.cdr,deu_Latn,0.5215,968.86,Trash
CTX199904249,274,13,Kreslil,est_Latn,0.8800,2169.87,Trash
CTX199904249,274,14,P Pinč,slk_Latn,0.9891,1064154.62,Trash
CTX199904249,274,15,Mioil,gle_Latn,0.9988,8772.13,Trash
CTX199904249,274,16,P. Pinč,slk_Latn,0.9845,16999.16,Trash
CTX199904249,543,2,Výzkum,ces_Latn,1.0000,468.16,Noisy
CTX199904249,543,3,Datum,deu_Latn,0.9669,536029.31,Trash
CTX199904249,543,4,Objekt,deu_Latn,0.9982,716.65,Trash
CTX199904249,543,5,Sektor,deu_Latn,0.9806,2809.39,Trash
CTX199904249,543,6,Turnov,vie_Latn,0.6003,40785.12,Trash
CTX199904249,543,7,Maškovy zahrady,ces_Latn,0.9849,865.11,Trash
CTX199904249,543,9,l/VR,kor_Hang,0.6133,4985.88,Trash
CTX199904249,543,10,Severní profil,ces_Latn,0.9573,22155.08,Trash
CTX199904249,543,11,Poeitaeový soubor,ces_Latn,1.0000,5741.77,Trash
CTX199904249,543,12,objsl-vr.cdr,ces_Latn,0.7216,401.94,Noisy
CTX199904249,543,13,Kresli,tur_Latn,0.2477,4608.29,Trash
CTX199904249,543,14,P. Pinč,slk_Latn,0.9845,16999.16,Trash
CTX199904249,543,15,Mi0il,vie_Latn,0.7517,3771.30,Trash
CTX199904249,543,16,P. Pinč,slk_Latn,0.9845,16999.16,Trash
CTX199904249,543,18,dno vkopu,slv_Latn,0.6954,610.14,Trash
CTX199904249,543,19,hřebík,ces_Latn,1.0000,274.07,Noisy
CTX199904249,179,2,Lokalita:,slk_Latn,0.6050,666.19,Trash
CTX199904249,179,3,"Tumov - Maškovy zahrady, výzkum 1998, Discount- Plus",ces_Latn,0.8812,498.05,Noisy
CTX199904249,179,4,Plocha:,vie_Latn,0.5906,355.85,Noisy
CTX199904249,179,6,Číslo objektu:,ces_Latn,0.9104,3244.15,Trash
CTX199904249,179,8,Popis objektu:,bos_Latn,0.3233,1935.95,Trash
CTX199904249,179,9,"zahloubený objekt téměř kruhového půdorysu, průměr 0.64 - 0,72 m, hloubka 0,24 m,",ces_Latn,1.0000,181.53,Noisy
CTX199904249,179,10,"polokulovitý U profil, oblé dno",slk_Latn,0.5145,949.01,Trash
CTX199904249,179,11,Výplň 1:,slk_Latn,0.9931,805.68,Trash
CTX199904249,179,12,středně ulehlá okrově šedá pisčitojilovitá hlina s drobnými kamínky,ces_Latn,1.0000,335.40,Noisy
CTX199904249,179,13,Výplň 2:,slk_Latn,0.9901,801.93,Trash
CTX199904249,179,14,Výplň 3:,slk_Latn,0.9878,861.15,Trash
CTX199904249,179,15,Výplň 4:,slk_Latn,0.9870,865.03,Trash
CTX199904249,179,16,Výplň 5:,slk_Latn,0.9910,889.01,Trash
CTX199904249,179,17,Keramika,deu_Latn,0.6508,2460.52,Trash
CTX199904249,179,18,Kameny,ces_Latn,0.9966,26273.05,Trash
CTX199904249,179,19,Mazanice,vie_Latn,0.7063,3399.67,Trash
CTX199904249,179,20,Kosti,slk_Latn,0.7623,1733.73,Trash
CTX199904249,179,22,Stříbro,ces_Latn,1.0000,963.69,Trash
CTX199904249,179,23,Broušená Industrie,ces_Latn,0.9023,3715.39,Trash
CTX199904249,179,24,Štipaná industrie,slk_Latn,0.9247,8563.41,Trash
CTX199904249,179,25,Sklo,lit_Latn,0.9975,11048.30,Trash
CTX199904249,179,26,Uhlíky,ces_Latn,1.0000,16162.50,Trash
CTX199904249,179,27,Vzorek výplně,ces_Latn,1.0000,290.54,Noisy
CTX199904249,179,28,Datace 1:,ces_Latn,0.9169,2227.91,Trash
CTX199904249,179,29,Datace 3:,ces_Latn,0.8633,2374.71,Trash
CTX199904249,179,30,Datace 5:,ces_Latn,0.8565,3308.11,Trash
CTX199904249,179,31,Přírůstkové číslo:,ces_Latn,1.0000,297.53,Noisy
CTX199904249,179,32,Fotodokumentace,ces_Latn,0.9007,3640.31,Trash
CTX199904249,179,33,Kameny - počet:,ces_Latn,0.9341,2103.08,Trash
CTX199904249,179,34,Mazanice - počet:,hrv_Latn,0.7147,1744.19,Trash
CTX199904249,179,35,Kosti - počet:,bos_Latn,0.5685,872.62,Trash
CTX199904249,179,36,Kov - počet:,slk_Latn,0.7603,1537.49,Trash
CTX199904249,179,37,Stříbro - počet:,ces_Latn,0.9999,512.78,Trash
CTX199904249,179,38,Brunz - počet:,bos_Latn,0.5138,987.39,Trash
CTX199904249,179,39,Sklo - počet:,hrv_Latn,0.7174,1570.46,Trash
CTX199904249,179,40,Uhliky - počet:,ces_Latn,0.6368,3377.33,Trash
CTX199904249,179,41,Datace 2:,ces_Latn,0.8802,2152.47,Trash
CTX199904249,179,42,Datace 4:,ces_Latn,0.9130,2550.75,Trash
CTX199904249,179,43,Broušená industrie - počet:,ces_Latn,0.7708,1196.76,Trash
CTX199904249,179,44,Štípaná industrie - počet:,slk_Latn,0.9500,985.18,Trash
